step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,1.10256,0.22475,-1,1.10256,2757,3340,-1,2757,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n10),(nginx,n10),(mariadb,n10),(memcached,n2)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2)"
1,1.64136,0.08053,0.02801,0.02801,2757,3340,2757,2757,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n10),(nginx,n10),(mariadb,n10),(memcached,n2)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2)"
2,1.38093,0.08874,0.02931,0.02931,2040,2040,2640,2640,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2)"
3,1.45255,0.04119,0.08035,0.08035,2040,2040,2640,2640,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2)"
4,0.17313,0.00263,0.16397,0.3371,-1,-1,-1,-1,,,,
5,0.10202,0.00297,0.00343,0.10545,-1,-1,-1,-1,,,,
6,0.10636,0.00281,0.00328,0.10964,-1,-1,-1,-1,,,,
7,0.1085,0.00301,0.00314,0.11164,-1,-1,-1,-1,,,,
8,0.46371,0.00277,0.00641,0.47012000000000004,-1,-1,-1,-1,,,,
9,0.03415,0.00689,0.00352,0.03767,-1,-1,-1,-1,,,,
10,0.02547,0.003,0.00385,0.02932,-1,-1,-1,-1,,,,
11,0.0424,0.0028,0.00392,0.04632,-1,-1,-1,-1,,,,
12,0.04123,0.00322,0.004,0.045230000000000006,-1,-1,-1,-1,,,,
13,0.03535,0.00275,0.00321,0.03856,-1,-1,-1,-1,,,,
14,0.04341,0.00363,0.00321,0.046619999999999995,-1,-1,-1,-1,,,,
15,0.03535,0.00311,0.00362,0.03897,-1,-1,-1,-1,,,,
16,0.03958,0.00237,0.00277,0.04235,-1,-1,-1,-1,,,,
17,0.02137,0.00333,0.00358,0.02495,-1,-1,-1,-1,,,,
18,0.04326,0.00281,0.00247,0.04573,-1,-1,-1,-1,,,,
19,0.02995,0.0025,0.0029,0.032850000000000004,-1,-1,-1,-1,,,,
20,0.03896,0.00302,0.00286,0.04182,-1,-1,-1,-1,,,,
21,0.03891,0.00341,0.00427,0.04318,-1,-1,-1,-1,,,,
22,0.04063,0.00409,0.00594,0.04657,-1,-1,-1,-1,,,,
23,0.04354,0.0031,0.00277,0.046310000000000004,-1,-1,-1,-1,,,,
24,0.23488,0.0005,0.00028,0.23516,-1,-1,-1,-1,,,,
25,0.01629,0.00335,0.00343,0.019719999999999998,-1,-1,-1,-1,,,,
26,0.02709,0.00304,0.00263,0.02972,-1,-1,-1,-1,,,,
27,0.03877,0.00264,0.00315,0.04192,-1,-1,-1,-1,,,,
28,0.03961,0.00231,0.00279,0.0424,-1,-1,-1,-1,,,,
29,0.04544,0.0025,0.00297,0.04841,-1,-1,-1,-1,,,,
30,0.04245,0.00314,0.00361,0.046060000000000004,-1,-1,-1,-1,,,,
31,0.04442,0.00295,0.00345,0.04787,-1,-1,-1,-1,,,,
32,0.0385,0.00322,0.00356,0.04206,-1,-1,-1,-1,,,,
33,0.0209,0.00324,0.00344,0.024339999999999997,-1,-1,-1,-1,,,,
34,0.02976,0.00318,0.00371,0.03347,-1,-1,-1,-1,,,,
35,0.04182,0.00266,0.0031,0.04492,-1,-1,-1,-1,,,,
36,0.04069,0.00311,0.00364,0.044329999999999994,-1,-1,-1,-1,,,,
37,0.05157,0.00295,0.00351,0.05508,-1,-1,-1,-1,,,,
38,0.03687,0.00228,0.00275,0.03962,-1,-1,-1,-1,,,,
39,0.0384,0.00327,0.00371,0.042109999999999995,-1,-1,-1,-1,,,,
40,0.03929,0.00272,0.00324,0.04253,-1,-1,-1,-1,,,,
41,0.0417,0.00235,0.00287,0.04457,-1,-1,-1,-1,,,,
42,0.08472,0.00326,0.0045,0.08922000000000001,-1,-1,-1,-1,,,,
