step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,2.87614,1.93088,-1,2.87614,12856,14240,-1,12856,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n2),(traefik,n2),(ubuntu,n2),(redis,n2),(mysql,n2)","(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(redis,n1),(traefik,n1),(rabbitmq,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n10),(alpine,n10),(rabbitmq,n10),(nginx,n10),(httpd,n10),(mariadb,n10),(postgres,n10),(ubuntu,n2),(memcached,n2),(redis,n2),(traefik,n2),(mysql,n2)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n2),(traefik,n2),(ubuntu,n2),(redis,n2),(mysql,n2)"
1,2.91554,2.98052,17.37833,17.37833,13722,16848,13722,13722,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n2),(traefik,n2),(ubuntu,n2),(redis,n2),(mysql,n2),(mysql,n6)","(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(traefik,n1),(redis,n1),(nginx,n1),(rabbitmq,n1),(httpd,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(busybox,n52),(alpine,n52),(nginx,n52),(rabbitmq,n52),(httpd,n52),(postgres,n52),(mariadb,n52),(busybox,n10),(alpine,n10),(ubuntu,n10),(memcached,n10),(traefik,n10),(redis,n10),(nginx,n10),(rabbitmq,n10),(httpd,n10),(postgres,n10),(mariadb,n10),(ubuntu,n2),(memcached,n2),(traefik,n2),(redis,n2),(mysql,n2),(mysql,n6)","(mysql,n2),(ubuntu,n2),(memcached,n2),(traefik,n2),(redis,n2),(mysql,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(traefik,n1),(redis,n1),(nginx,n1),(rabbitmq,n1),(httpd,n1),(postgres,n1),(mariadb,n1),(mysql,n6)","(mysql,n2),(ubuntu,n2),(memcached,n2),(traefik,n2),(redis,n2),(mysql,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(traefik,n1),(redis,n1),(nginx,n1),(rabbitmq,n1),(httpd,n1),(postgres,n1),(mariadb,n1),(mysql,n6)"
2,3.19051,3.32075,0.49977,0.49977,14296,17196,14296,14296,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n2),(traefik,n2),(ubuntu,n2),(redis,n2),(rabbitmq,n2),(mysql,n2),(mysql,n6)","(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(redis,n1),(traefik,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(busybox,n52),(alpine,n52),(httpd,n52),(nginx,n52),(postgres,n52),(mariadb,n52),(busybox,n10),(alpine,n10),(ubuntu,n10),(memcached,n10),(redis,n10),(traefik,n10),(httpd,n10),(nginx,n10),(rabbitmq,n10),(postgres,n10),(mariadb,n10),(ubuntu,n2),(memcached,n2),(redis,n2),(traefik,n2),(rabbitmq,n2),(mysql,n2),(mysql,n6)","(rabbitmq,n2),(ubuntu,n2),(memcached,n2),(redis,n2),(traefik,n2),(mysql,n2),(rabbitmq,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(redis,n1),(traefik,n1),(httpd,n1),(nginx,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(mysql,n6)","(rabbitmq,n2),(ubuntu,n2),(memcached,n2),(redis,n2),(traefik,n2),(mysql,n2),(rabbitmq,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(redis,n1),(traefik,n1),(httpd,n1),(nginx,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(mysql,n6)"
3,2.8673,17.29585,65.09319,67.96049000000001,15867,19442,-1,15867,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n7),(nginx,n7),(mariadb,n7),(traefik,n7),(httpd,n7),(ubuntu,n7),(redis,n7),(rabbitmq,n7),(mysql,n7),(traefik,n6),(ubuntu,n6),(mysql,n6),(traefik,n23),(ubuntu,n23),(mysql,n23)","(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(redis,n1),(traefik,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(busybox,n52),(alpine,n52),(postgres,n52),(busybox,n10),(alpine,n10),(memcached,n10),(redis,n10),(httpd,n10),(nginx,n10),(rabbitmq,n10),(postgres,n10),(mariadb,n10),(ubuntu,n25),(traefik,n25),(mysql,n25),(ubuntu,n7),(memcached,n7),(redis,n7),(traefik,n7),(httpd,n7),(nginx,n7),(rabbitmq,n7),(mariadb,n7),(mysql,n7)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n7),(nginx,n7),(mariadb,n7),(traefik,n7),(httpd,n7),(ubuntu,n7),(redis,n7),(rabbitmq,n7),(mysql,n7),(traefik,n6),(ubuntu,n6),(mysql,n6),(traefik,n23),(ubuntu,n23),(mysql,n23)"
4,2.21992,0.22243,0.10852,0.10852,6999,6999,15360,15360,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(redis,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(postgres,n1),(mariadb,n1),(mysql,n1)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(redis,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(ubuntu,n7),(traefik,n7),(memcached,n7),(redis,n7),(httpd,n7),(nginx,n7),(rabbitmq,n7),(mariadb,n7),(mysql,n7),(ubuntu,n6),(traefik,n6),(mysql,n6),(ubuntu,n23),(traefik,n23),(mysql,n23)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(redis,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(ubuntu,n7),(traefik,n7),(memcached,n7),(redis,n7),(httpd,n7),(nginx,n7),(rabbitmq,n7),(mariadb,n7),(mysql,n7),(ubuntu,n6),(traefik,n6),(mysql,n6),(ubuntu,n23),(traefik,n23),(mysql,n23)"
5,6.17408,3.39276,10.0216,10.0216,10985,15148,15631,15631,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n6),(traefik,n6),(ubuntu,n6),(redis,n6),(mysql,n6),(memcached,n9),(nginx,n9),(traefik,n9),(httpd,n9),(ubuntu,n9),(redis,n9),(rabbitmq,n9),(mysql,n9)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(redis,n1),(memcached,n1),(nginx,n1),(httpd,n1),(rabbitmq,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(busybox,n52),(alpine,n52),(postgres,n52),(mariadb,n52),(busybox,n10),(alpine,n10),(nginx,n10),(httpd,n10),(rabbitmq,n10),(postgres,n10),(mariadb,n10),(ubuntu,n4),(traefik,n4),(redis,n4),(memcached,n4),(mysql,n4),(ubuntu,n22),(traefik,n22),(redis,n22),(memcached,n22),(mysql,n22),(nginx,n9),(httpd,n9),(rabbitmq,n9)","(redis,n4),(memcached,n4),(redis,n1),(memcached,n1),(nginx,n1),(httpd,n1),(rabbitmq,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(redis,n22),(memcached,n22),(nginx,n9),(httpd,n9),(rabbitmq,n9),(nginx,n10),(httpd,n10),(rabbitmq,n10),(ubuntu,n7),(traefik,n7),(mariadb,n7),(mysql,n7),(ubuntu,n6),(traefik,n6),(mysql,n6),(ubuntu,n23),(traefik,n23),(mysql,n23)","(redis,n4),(memcached,n4),(redis,n1),(memcached,n1),(nginx,n1),(httpd,n1),(rabbitmq,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(redis,n22),(memcached,n22),(nginx,n9),(httpd,n9),(rabbitmq,n9),(nginx,n10),(httpd,n10),(rabbitmq,n10),(ubuntu,n7),(traefik,n7),(mariadb,n7),(mysql,n7),(ubuntu,n6),(traefik,n6),(mysql,n6),(ubuntu,n23),(traefik,n23),(mysql,n23)"
6,3.76598,6.59467,18.77482,18.77482,10984,14779,15226,15226,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n6),(ubuntu,n6),(mysql,n6),(memcached,n9),(nginx,n9),(traefik,n9),(httpd,n9),(ubuntu,n9),(redis,n9),(rabbitmq,n9),(mysql,n9),(memcached,n23),(ubuntu,n23),(mysql,n23)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(redis,n1),(memcached,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n52),(alpine,n52),(mariadb,n52),(postgres,n52),(busybox,n10),(alpine,n10),(traefik,n10),(redis,n10),(httpd,n10),(nginx,n10),(rabbitmq,n10),(mariadb,n10),(postgres,n10),(ubuntu,n25),(memcached,n25),(mysql,n25),(ubuntu,n9),(traefik,n9),(redis,n9),(memcached,n9),(httpd,n9),(nginx,n9),(rabbitmq,n9),(mysql,n9)","(memcached,n25),(memcached,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(redis,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(memcached,n9),(httpd,n9),(nginx,n9),(rabbitmq,n9),(ubuntu,n7),(traefik,n7),(mariadb,n7),(mysql,n7),(ubuntu,n6),(traefik,n6),(mysql,n6),(ubuntu,n23),(traefik,n23),(mysql,n23),(redis,n4),(redis,n22),(httpd,n10),(nginx,n10),(rabbitmq,n10)","(memcached,n25),(memcached,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(redis,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(memcached,n9),(httpd,n9),(nginx,n9),(rabbitmq,n9),(ubuntu,n7),(traefik,n7),(mariadb,n7),(mysql,n7),(ubuntu,n6),(traefik,n6),(mysql,n6),(ubuntu,n23),(traefik,n23),(mysql,n23),(redis,n4),(redis,n22),(httpd,n10),(nginx,n10),(rabbitmq,n10)"
7,2.17497,0.28615,0.1272,0.1272,6864,6864,13230,13230,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(redis,n1),(memcached,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(postgres,n1),(mariadb,n1),(mysql,n1)","(redis,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(ubuntu,n7),(traefik,n7),(mariadb,n7),(mysql,n7),(ubuntu,n6),(traefik,n6),(mysql,n6),(ubuntu,n23),(traefik,n23),(mysql,n23),(memcached,n25),(memcached,n9)","(redis,n1),(httpd,n1),(nginx,n1),(rabbitmq,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(ubuntu,n7),(traefik,n7),(mariadb,n7),(mysql,n7),(ubuntu,n6),(traefik,n6),(mysql,n6),(ubuntu,n23),(traefik,n23),(mysql,n23),(memcached,n25),(memcached,n9)"
8,2.39706,0.55315,0.26091,0.26091,8426,9312,14065,14065,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n9),(traefik,n9),(ubuntu,n9),(redis,n9),(rabbitmq,n9),(mysql,n9),(nginx,n22)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(redis,n1),(memcached,n1),(httpd,n1),(rabbitmq,n1),(nginx,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(busybox,n10),(alpine,n10),(httpd,n10),(postgres,n10),(mariadb,n10),(ubuntu,n22),(traefik,n22),(redis,n22),(memcached,n22),(rabbitmq,n22),(nginx,n22),(mysql,n22)","(redis,n1),(rabbitmq,n1),(nginx,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(httpd,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(redis,n22),(rabbitmq,n22),(nginx,n22),(ubuntu,n7),(traefik,n7),(mariadb,n7),(mysql,n7),(ubuntu,n6),(traefik,n6),(mysql,n6),(ubuntu,n23),(traefik,n23),(mysql,n23),(memcached,n25),(memcached,n9)","(redis,n1),(rabbitmq,n1),(nginx,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(httpd,n1),(postgres,n1),(mariadb,n1),(mysql,n1),(redis,n22),(rabbitmq,n22),(nginx,n22),(ubuntu,n7),(traefik,n7),(mariadb,n7),(mysql,n7),(ubuntu,n6),(traefik,n6),(mysql,n6),(ubuntu,n23),(traefik,n23),(mysql,n23),(memcached,n25),(memcached,n9)"
9,3.25761,1.18124,3.05057,3.05057,14629,14632,14629,14629,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n2),(nginx,n2),(traefik,n2),(ubuntu,n2),(redis,n2),(mysql,n2),(mariadb,n23),(httpd,n9),(postgres,n9),(rabbitmq,n22)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(redis,n1),(memcached,n1),(httpd,n1),(rabbitmq,n1),(nginx,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n10),(alpine,n10),(httpd,n10),(rabbitmq,n10),(mariadb,n10),(postgres,n10),(ubuntu,n2),(traefik,n2),(redis,n2),(memcached,n2),(nginx,n2),(mysql,n2)","(ubuntu,n2),(traefik,n2),(redis,n2),(memcached,n2),(nginx,n2),(mysql,n2),(ubuntu,n1),(traefik,n1),(redis,n1),(memcached,n1),(httpd,n1),(nginx,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n1),(alpine,n1),(rabbitmq,n1),(httpd,n10),(mariadb,n10),(postgres,n10),(rabbitmq,n22)","(ubuntu,n2),(traefik,n2),(redis,n2),(memcached,n2),(nginx,n2),(mysql,n2),(ubuntu,n1),(traefik,n1),(redis,n1),(memcached,n1),(httpd,n1),(nginx,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n1),(alpine,n1),(rabbitmq,n1),(httpd,n10),(mariadb,n10),(postgres,n10),(rabbitmq,n22)"
