step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,17.04422,3.47173,-1,17.04422,6540,7764,-1,6540,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n5),(traefik,n5)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n14),(alpine,n14),(nginx,n14),(httpd,n14),(mariadb,n14),(postgres,n14),(memcached,n34),(traefik,n5)",,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n5),(traefik,n5)"
1,14.16513,1.91255,0.48095,0.48095,6540,7764,6540,6540,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n5),(traefik,n5)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n200),(alpine,n200),(nginx,n200),(httpd,n200),(mariadb,n200),(postgres,n200),(memcached,n34),(traefik,n34)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(memcached,n5),(traefik,n5)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(memcached,n5),(traefik,n5)"
2,82.17886,2.7147,2.35761,2.35761,7344,7355,7468,7468,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n19),(nginx,n146),(mariadb,n121),(traefik,n35),(postgres,n35),(httpd,n156)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n141),(alpine,n141),(nginx,n141),(httpd,n141),(mariadb,n141),(postgres,n141),(memcached,n35),(traefik,n35)","(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n35),(nginx,n141),(httpd,n141),(mariadb,n141),(postgres,n141),(memcached,n5)","(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n35),(nginx,n141),(httpd,n141),(mariadb,n141),(postgres,n141),(memcached,n5)"
3,16.76242,65.8107,65.4398,82.20222000000001,6817,-1,-1,6817,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n23),(traefik,n5),(traefik,n80)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n23),(traefik,n5),(traefik,n80)"
4,19.21705,3.13275,4.06961,4.06961,6475,7195,6475,6475,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n14),(traefik,n14),(traefik,n76),(postgres,n107)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n76),(alpine,n76),(nginx,n76),(httpd,n76),(mariadb,n76),(postgres,n76),(memcached,n14),(traefik,n34)","(memcached,n3),(traefik,n3),(postgres,n3),(busybox,n3),(alpine,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(memcached,n14),(traefik,n34),(postgres,n76)","(memcached,n3),(traefik,n3),(postgres,n3),(busybox,n3),(alpine,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(memcached,n14),(traefik,n34),(postgres,n76)"
5,21.61281,65.57095,65.76122,87.37402999999999,7356,-1,-1,7356,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n14),(nginx,n14),(traefik,n14),(httpd,n14),(postgres,n14),(memcached,n76),(traefik,n76),(traefik,n88)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n14),(nginx,n14),(traefik,n14),(httpd,n14),(postgres,n14),(memcached,n76),(traefik,n76),(traefik,n88)"
6,22.4176,65.87375,65.7999,88.2175,6427,-1,-1,6427,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n18),(traefik,n18),(traefik,n210)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n18),(traefik,n18),(traefik,n210)"
7,22.48693,65.93562,65.80638,88.29331,7044,-1,-1,7044,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n14),(httpd,n14),(postgres,n14),(traefik,n107),(traefik,n210)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n14),(httpd,n14),(postgres,n14),(traefik,n107),(traefik,n210)"
8,22.09142,65.86708,65.79303,87.88445,7801,-1,-1,7801,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n156),(mariadb,n156),(traefik,n156),(traefik,n93),(httpd,n107),(postgres,n82)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n156),(mariadb,n156),(traefik,n156),(traefik,n93),(httpd,n107),(postgres,n82)"
9,22.25759,65.63,65.8871,88.14469,9351,-1,-1,9351,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n14),(traefik,n14),(postgres,n14),(memcached,n148),(traefik,n148),(mariadb,n156),(traefik,n93),(httpd,n82)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n14),(traefik,n14),(postgres,n14),(memcached,n148),(traefik,n148),(mariadb,n156),(traefik,n93),(httpd,n82)"
