step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,331.04085,66.99183,-1,331.04085,20359,-1,-1,20359,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n2),(memcached,n3),(traefik,n35),(traefik,n102),(mysql,n102),(traefik,n337),(httpd,n19),(postgres,n60),(postgres,n181),(ubuntu,n38),(ubuntu,n377),(redis,n55),(mysql,n55),(redis,n97),(redis,n387),(rabbitmq,n42),(mysql,n42),(mysql,n132)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n2),(memcached,n3),(traefik,n35),(traefik,n102),(mysql,n102),(traefik,n337),(httpd,n19),(postgres,n60),(postgres,n181),(ubuntu,n38),(ubuntu,n377),(redis,n55),(mysql,n55),(redis,n97),(redis,n387),(rabbitmq,n42),(mysql,n42),(mysql,n132)"
1,338.04513,67.04745,66.39836,404.44349,13676,-1,-1,13676,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n3),(traefik,n7),(traefik,n334),(postgres,n135),(ubuntu,n74),(redis,n84),(redis,n166),(mysql,n212),(mysql,n337)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n3),(traefik,n7),(traefik,n334),(postgres,n135),(ubuntu,n74),(redis,n84),(redis,n166),(mysql,n212),(mysql,n337)"
2,340.56075,67.3281,68.54604,409.10679,17315,-1,-1,17315,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n2),(traefik,n14),(traefik,n135),(traefik,n212),(traefik,n277),(httpd,n42),(rabbitmq,n42),(postgres,n55),(ubuntu,n37),(redis,n37),(ubuntu,n110),(redis,n132),(redis,n172),(mysql,n46),(mysql,n216),(mysql,n308),(mysql,n337)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n2),(traefik,n14),(traefik,n135),(traefik,n212),(traefik,n277),(httpd,n42),(rabbitmq,n42),(postgres,n55),(ubuntu,n37),(redis,n37),(ubuntu,n110),(redis,n132),(redis,n172),(mysql,n46),(mysql,n216),(mysql,n308),(mysql,n337)"
3,359.71557,67.1789,67.70138,427.41695000000004,21841,-1,-1,21841,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n1),(memcached,n2),(traefik,n2),(postgres,n2),(traefik,n140),(traefik,n311),(httpd,n37),(postgres,n206),(ubuntu,n60),(ubuntu,n172),(redis,n7),(redis,n79),(redis,n369),(rabbitmq,n55),(mysql,n12),(mysql,n31),(mysql,n143),(mysql,n212)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n1),(memcached,n2),(traefik,n2),(postgres,n2),(traefik,n140),(traefik,n311),(httpd,n37),(postgres,n206),(ubuntu,n60),(ubuntu,n172),(redis,n7),(redis,n79),(redis,n369),(rabbitmq,n55),(mysql,n12),(mysql,n31),(mysql,n143),(mysql,n212)"
4,357.78549,67.50773,67.44601,425.2315,16056,-1,-1,16056,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n2),(traefik,n46),(traefik,n325),(httpd,n73),(postgres,n19),(postgres,n45),(ubuntu,n6),(ubuntu,n343),(redis,n27),(redis,n114),(redis,n456),(rabbitmq,n12),(mysql,n7),(mysql,n37),(mysql,n154)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n2),(traefik,n46),(traefik,n325),(httpd,n73),(postgres,n19),(postgres,n45),(ubuntu,n6),(ubuntu,n343),(redis,n27),(redis,n114),(redis,n456),(rabbitmq,n12),(mysql,n7),(mysql,n37),(mysql,n154)"
5,369.80516,68.08893,68.02903,437.83419000000004,25320,-1,-1,25320,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n1),(memcached,n2),(rabbitmq,n2),(traefik,n7),(redis,n7),(traefik,n36),(traefik,n110),(httpd,n79),(postgres,n46),(ubuntu,n19),(ubuntu,n216),(redis,n9),(mysql,n9),(redis,n97),(mysql,n31),(mysql,n55),(mysql,n132),(mysql,n436)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n1),(memcached,n2),(rabbitmq,n2),(traefik,n7),(redis,n7),(traefik,n36),(traefik,n110),(httpd,n79),(postgres,n46),(ubuntu,n19),(ubuntu,n216),(redis,n9),(mysql,n9),(redis,n97),(mysql,n31),(mysql,n55),(mysql,n132),(mysql,n436)"
6,349.87093,68.10425,67.8339,417.70483,15678,-1,-1,15678,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n1),(traefik,n7),(ubuntu,n7),(mysql,n7),(traefik,n270),(ubuntu,n270),(postgres,n117),(redis,n23),(redis,n239),(mysql,n116),(mysql,n220)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n1),(traefik,n7),(ubuntu,n7),(mysql,n7),(traefik,n270),(ubuntu,n270),(postgres,n117),(redis,n23),(redis,n239),(mysql,n116),(mysql,n220)"
7,6298.21886,66.81349,66.54782,6364.76668,15718,-1,-1,15718,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n55),(nginx,n55),(traefik,n55),(httpd,n55),(postgres,n55),(ubuntu,n55),(redis,n55),(rabbitmq,n55),(mariadb,n331),(mysql,n331),(traefik,n49),(traefik,n216),(traefik,n308),(ubuntu,n140),(ubuntu,n212),(redis,n212),(redis,n10),(redis,n37),(mysql,n37),(mysql,n206),(mysql,n376)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n55),(nginx,n55),(traefik,n55),(httpd,n55),(postgres,n55),(ubuntu,n55),(redis,n55),(rabbitmq,n55),(mariadb,n331),(mysql,n331),(traefik,n49),(traefik,n216),(traefik,n308),(ubuntu,n140),(ubuntu,n212),(redis,n212),(redis,n10),(redis,n37),(mysql,n37),(mysql,n206),(mysql,n376)"
8,315.64061,66.69269,66.66141,382.30201999999997,18011,-1,-1,18011,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n2),(memcached,n3),(traefik,n7),(traefik,n23),(redis,n23),(traefik,n41),(traefik,n55),(httpd,n46),(postgres,n19),(postgres,n415),(ubuntu,n10),(ubuntu,n18),(ubuntu,n37),(mysql,n37),(ubuntu,n376),(redis,n376),(redis,n4),(redis,n39),(redis,n85),(redis,n186),(rabbitmq,n50),(mysql,n9),(mysql,n117)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n2),(memcached,n3),(traefik,n7),(traefik,n23),(redis,n23),(traefik,n41),(traefik,n55),(httpd,n46),(postgres,n19),(postgres,n415),(ubuntu,n10),(ubuntu,n18),(ubuntu,n37),(mysql,n37),(ubuntu,n376),(redis,n376),(redis,n4),(redis,n39),(redis,n85),(redis,n186),(rabbitmq,n50),(mysql,n9),(mysql,n117)"
9,369.13165,66.77336,66.41878,435.55043,23074,-1,-1,23074,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(busybox,n501),(memcached,n501),(nginx,n501),(mariadb,n501),(alpine,n501),(traefik,n501),(httpd,n501),(postgres,n501),(ubuntu,n501),(redis,n501),(rabbitmq,n501),(mysql,n501),(memcached,n10),(postgres,n10),(traefik,n12),(ubuntu,n12),(traefik,n207),(traefik,n212),(ubuntu,n212),(redis,n212),(httpd,n41),(redis,n14),(redis,n302),(rabbitmq,n6),(mysql,n6),(mysql,n115),(mysql,n117),(mysql,n154)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(busybox,n501),(memcached,n501),(nginx,n501),(mariadb,n501),(alpine,n501),(traefik,n501),(httpd,n501),(postgres,n501),(ubuntu,n501),(redis,n501),(rabbitmq,n501),(mysql,n501),(memcached,n10),(postgres,n10),(traefik,n12),(ubuntu,n12),(traefik,n207),(traefik,n212),(ubuntu,n212),(redis,n212),(httpd,n41),(redis,n14),(redis,n302),(rabbitmq,n6),(mysql,n6),(mysql,n115),(mysql,n117),(mysql,n154)"
