step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,387.78876,207.8219,-1,387.78876,9109,-1,-1,9109,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n133),(memcached,n920),(traefik,n920),(httpd,n920),(postgres,n920),(traefik,n100),(postgres,n625)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n133),(memcached,n920),(traefik,n920),(httpd,n920),(postgres,n920),(traefik,n100),(postgres,n625)"
1,665.78748,202.06823,6.99142,672.7788999999999,14616,-1,-1,14616,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(busybox,n890),(memcached,n890),(nginx,n890),(mariadb,n890),(alpine,n890),(traefik,n890),(httpd,n890),(postgres,n890),(memcached,n51),(memcached,n76),(traefik,n13),(traefik,n148),(traefik,n174),(postgres,n92)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(busybox,n890),(memcached,n890),(nginx,n890),(mariadb,n890),(alpine,n890),(traefik,n890),(httpd,n890),(postgres,n890),(memcached,n51),(memcached,n76),(traefik,n13),(traefik,n148),(traefik,n174),(postgres,n92)"
2,339.66525,19.13861,69.62448,409.28973,8624,-1,-1,8624,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n76),(memcached,n459),(traefik,n459),(traefik,n42),(traefik,n420),(postgres,n505)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n76),(memcached,n459),(traefik,n459),(traefik,n42),(traefik,n420),(postgres,n505)"
3,332.25121,14.28374,70.38201,402.63322,8350,-1,-1,8350,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n149),(traefik,n42),(traefik,n310),(postgres,n383)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n149),(traefik,n42),(traefik,n310),(postgres,n383)"
4,11590.1462,11.17139,68.99669,11659.14289,8624,-1,-1,8624,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n3),(memcached,n474),(traefik,n13),(traefik,n118),(traefik,n248),(postgres,n407)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n3),(memcached,n474),(traefik,n13),(traefik,n118),(traefik,n248),(postgres,n407)"
5,241.34327,15.2904,8.45814,249.80140999999998,9848,-1,-1,9848,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(busybox,n814),(memcached,n814),(nginx,n814),(mariadb,n814),(alpine,n814),(traefik,n814),(httpd,n814),(postgres,n814),(memcached,n383),(traefik,n81),(traefik,n248),(postgres,n100)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(busybox,n814),(memcached,n814),(nginx,n814),(mariadb,n814),(alpine,n814),(traefik,n814),(httpd,n814),(postgres,n814),(memcached,n383),(traefik,n81),(traefik,n248),(postgres,n100)"
6,318.31528,12.13515,12.16946,330.48474,9660,-1,-1,9660,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n102),(memcached,n158),(traefik,n47),(traefik,n105),(traefik,n281),(traefik,n375),(postgres,n584)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n102),(memcached,n158),(traefik,n47),(traefik,n105),(traefik,n281),(traefik,n375),(postgres,n584)"
7,4986.48468,14.99061,69.14016,5055.6248399999995,8624,-1,-1,8624,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n3),(memcached,n248),(traefik,n21),(traefik,n42),(traefik,n158),(postgres,n149)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n3),(memcached,n248),(traefik,n21),(traefik,n42),(traefik,n158),(postgres,n149)"
8,412.81695,12.9156,8.82622,421.64317,10739,-1,-1,10739,"(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(alpine,n2),(traefik,n2),(httpd,n2),(postgres,n2),(busybox,n1006),(memcached,n1006),(nginx,n1006),(mariadb,n1006),(alpine,n1006),(traefik,n1006),(httpd,n1006),(postgres,n1006),(memcached,n43),(memcached,n158),(postgres,n158),(traefik,n42),(traefik,n249),(traefik,n292),(traefik,n713),(httpd,n139)",,,"(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(alpine,n2),(traefik,n2),(httpd,n2),(postgres,n2),(busybox,n1006),(memcached,n1006),(nginx,n1006),(mariadb,n1006),(alpine,n1006),(traefik,n1006),(httpd,n1006),(postgres,n1006),(memcached,n43),(memcached,n158),(postgres,n158),(traefik,n42),(traefik,n249),(traefik,n292),(traefik,n713),(httpd,n139)"
9,302.25097,10.89397,11.12549,313.37646,8772,-1,-1,8772,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n133),(memcached,n300),(traefik,n8),(traefik,n159),(traefik,n457),(postgres,n590)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(memcached,n133),(memcached,n300),(traefik,n8),(traefik,n159),(traefik,n457),(postgres,n590)"
