step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,19.79238,30.41895,-1,19.79238,19362,-1,-1,19362,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n38),(traefik,n38),(postgres,n38),(redis,n38),(nginx,n34),(mariadb,n34),(httpd,n76),(ubuntu,n76),(mysql,n14),(mysql,n18),(mysql,n44),(mysql,n48)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n38),(traefik,n38),(postgres,n38),(redis,n38),(nginx,n34),(mariadb,n34),(httpd,n76),(ubuntu,n76),(mysql,n14),(mysql,n18),(mysql,n44),(mysql,n48)"
1,7.0962,30.12594,15.05609,22.15229,28956,-1,-1,28956,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(busybox,n110),(memcached,n110),(nginx,n110),(mariadb,n110),(alpine,n110),(traefik,n110),(httpd,n110),(postgres,n110),(ubuntu,n110),(redis,n110),(rabbitmq,n110),(mysql,n110),(memcached,n76),(nginx,n76),(mariadb,n76),(traefik,n76),(httpd,n76),(postgres,n76),(ubuntu,n76),(redis,n76),(mysql,n76),(nginx,n20),(mariadb,n20),(httpd,n20),(postgres,n20),(mysql,n20),(rabbitmq,n5),(mysql,n18),(mysql,n55),(mysql,n65),(mysql,n72)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(busybox,n110),(memcached,n110),(nginx,n110),(mariadb,n110),(alpine,n110),(traefik,n110),(httpd,n110),(postgres,n110),(ubuntu,n110),(redis,n110),(rabbitmq,n110),(mysql,n110),(memcached,n76),(nginx,n76),(mariadb,n76),(traefik,n76),(httpd,n76),(postgres,n76),(ubuntu,n76),(redis,n76),(mysql,n76),(nginx,n20),(mariadb,n20),(httpd,n20),(postgres,n20),(mysql,n20),(rabbitmq,n5),(mysql,n18),(mysql,n55),(mysql,n65),(mysql,n72)"
2,4.546,9.19357,15.13256,19.67856,16752,20250,-1,16752,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(nginx,n20),(mariadb,n20),(httpd,n20),(postgres,n20),(mysql,n20),(traefik,n34),(ubuntu,n18),(redis,n33),(mysql,n14),(mysql,n59)","(busybox,n0),(alpine,n0),(ubuntu,n0),(memcached,n0),(traefik,n0),(redis,n0),(nginx,n0),(httpd,n0),(rabbitmq,n0),(mariadb,n0),(postgres,n0),(mysql,n0),(busybox,n20),(alpine,n20),(ubuntu,n20),(memcached,n20),(traefik,n20),(redis,n20),(nginx,n20),(httpd,n20),(rabbitmq,n20),(mariadb,n20),(postgres,n20),(busybox,n106),(alpine,n106),(ubuntu,n106),(memcached,n106),(traefik,n106),(redis,n106),(nginx,n106),(httpd,n106),(rabbitmq,n106),(mariadb,n106),(postgres,n106),(mysql,n12),(mysql,n14)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(nginx,n20),(mariadb,n20),(httpd,n20),(postgres,n20),(mysql,n20),(traefik,n34),(ubuntu,n18),(redis,n33),(mysql,n14),(mysql,n59)"
3,4.09307,30.12654,15.15661,19.24968,19983,-1,-1,19983,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n76),(nginx,n76),(mariadb,n76),(traefik,n76),(httpd,n76),(postgres,n76),(ubuntu,n76),(redis,n76),(mysql,n76),(mysql,n12),(mysql,n14),(mysql,n44)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n76),(nginx,n76),(mariadb,n76),(traefik,n76),(httpd,n76),(postgres,n76),(ubuntu,n76),(redis,n76),(mysql,n76),(mysql,n12),(mysql,n14),(mysql,n44)"
4,52.01818,1.90196,15.14273,67.16091,17499,19629,-1,17499,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n34),(httpd,n34),(ubuntu,n34),(nginx,n38),(redis,n38),(mariadb,n76),(postgres,n76),(mysql,n76),(traefik,n52),(mysql,n12)","(busybox,n0),(alpine,n0),(ubuntu,n0),(memcached,n0),(traefik,n0),(redis,n0),(nginx,n0),(httpd,n0),(rabbitmq,n0),(mariadb,n0),(postgres,n0),(mysql,n0),(busybox,n20),(alpine,n20),(rabbitmq,n20),(busybox,n106),(alpine,n106),(ubuntu,n106),(memcached,n106),(traefik,n106),(redis,n106),(nginx,n106),(httpd,n106),(rabbitmq,n106),(mariadb,n106),(postgres,n106),(ubuntu,n52),(memcached,n52),(traefik,n52),(redis,n52),(nginx,n52),(httpd,n52),(mariadb,n52),(postgres,n52),(mysql,n52),(mysql,n12)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n34),(httpd,n34),(ubuntu,n34),(nginx,n38),(redis,n38),(mariadb,n76),(postgres,n76),(mysql,n76),(traefik,n52),(mysql,n12)"
5,7.2736,30.11761,15.16419,22.43779,19362,-1,-1,19362,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n76),(nginx,n76),(mariadb,n76),(httpd,n76),(postgres,n76),(redis,n76),(traefik,n38),(ubuntu,n38),(mysql,n38),(mysql,n2),(mysql,n44),(mysql,n72)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n76),(nginx,n76),(mariadb,n76),(httpd,n76),(postgres,n76),(redis,n76),(traefik,n38),(ubuntu,n38),(mysql,n38),(mysql,n2),(mysql,n44),(mysql,n72)"
6,39.00391,30.1181,15.12524,54.129149999999996,18741,-1,-1,18741,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n76),(nginx,n76),(mariadb,n76),(traefik,n34),(ubuntu,n34),(redis,n34),(httpd,n52),(postgres,n52),(mysql,n2),(mysql,n12),(mysql,n38)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n76),(nginx,n76),(mariadb,n76),(traefik,n34),(ubuntu,n34),(redis,n34),(httpd,n52),(postgres,n52),(mysql,n2),(mysql,n12),(mysql,n38)"
7,4.25792,30.10988,15.12579,19.38371,17658,-1,-1,17658,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(mysql,n12),(mysql,n14),(mysql,n44)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(mysql,n12),(mysql,n14),(mysql,n44)"
8,4.50198,30.1279,15.13791,19.63989,19983,-1,-1,19983,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n38),(traefik,n38),(ubuntu,n38),(nginx,n76),(mariadb,n76),(httpd,n76),(postgres,n76),(redis,n76),(mysql,n37),(mysql,n48),(mysql,n65)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n38),(traefik,n38),(ubuntu,n38),(nginx,n76),(mariadb,n76),(httpd,n76),(postgres,n76),(redis,n76),(mysql,n37),(mysql,n48),(mysql,n65)"
9,4.10281,30.15874,15.08335,19.18616,19983,-1,-1,19983,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n34),(nginx,n34),(httpd,n34),(ubuntu,n34),(mysql,n34),(mariadb,n38),(traefik,n38),(postgres,n38),(redis,n38),(mysql,n5),(mysql,n48),(mysql,n87)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(ubuntu,n0),(redis,n0),(rabbitmq,n0),(mysql,n0),(memcached,n34),(nginx,n34),(httpd,n34),(ubuntu,n34),(mysql,n34),(mariadb,n38),(traefik,n38),(postgres,n38),(redis,n38),(mysql,n5),(mysql,n48),(mysql,n87)"
