step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,53.45858,98.45803,-1,53.45858,3793,-1,-1,3793,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n43),(memcached,n208),(nginx,n208),(mariadb,n208),(memcached,n243)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n43),(memcached,n208),(nginx,n208),(mariadb,n208),(memcached,n243)"
1,50.61671,99.05543,66.74853,117.36524,3306,-1,-1,3306,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(memcached,n208),(nginx,n208),(memcached,n273)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(memcached,n208),(nginx,n208),(memcached,n273)"
2,52.14743,99.97935,68.50468,120.65211,3927,-1,-1,3927,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n59),(memcached,n208),(memcached,n298),(memcached,n345),(mariadb,n345),(nginx,n243)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n59),(memcached,n208),(memcached,n298),(memcached,n345),(mariadb,n345),(nginx,n243)"
3,57.8047,99.21029,68.67682,126.48152,3792,-1,-1,3792,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n208),(memcached,n295),(memcached,n345),(nginx,n345),(mariadb,n243)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n208),(memcached,n295),(memcached,n345),(nginx,n345),(mariadb,n243)"
4,52.5421,98.8722,68.74745,121.28954999999999,4332,-1,-1,4332,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n80),(memcached,n208),(memcached,n246),(memcached,n345),(nginx,n345),(mariadb,n243)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n80),(memcached,n208),(memcached,n246),(memcached,n345),(nginx,n345),(mariadb,n243)"
5,51.48579,99.05599,68.65065,120.13644,5223,-1,-1,5223,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n80),(memcached,n208),(memcached,n246),(nginx,n246),(memcached,n345),(nginx,n345),(mariadb,n243)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n80),(memcached,n208),(memcached,n246),(nginx,n246),(memcached,n345),(nginx,n345),(mariadb,n243)"
6,54.00138,99.02426,68.58012,122.58149999999999,5223,-1,-1,5223,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n80),(memcached,n208),(memcached,n243),(memcached,n246),(nginx,n246),(nginx,n345),(mariadb,n345)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n80),(memcached,n208),(memcached,n243),(memcached,n246),(nginx,n246),(nginx,n345),(mariadb,n345)"
7,59.51236,99.65434,4.50316,4.50316,3707,-1,4762,4762,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n208),(memcached,n243),(mariadb,n243),(memcached,n246),(nginx,n345)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n80),(memcached,n208),(memcached,n243),(memcached,n246),(nginx,n246),(nginx,n345),(mariadb,n345)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n80),(memcached,n208),(memcached,n243),(memcached,n246),(nginx,n246),(nginx,n345),(mariadb,n345)"
8,53.33153,98.82024,4.88858,4.88858,3707,-1,4762,4762,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n208),(memcached,n246),(memcached,n345),(nginx,n345),(mariadb,n243)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n80),(memcached,n208),(memcached,n243),(memcached,n246),(nginx,n246),(nginx,n345),(mariadb,n345)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n80),(memcached,n208),(memcached,n243),(memcached,n246),(nginx,n246),(nginx,n345),(mariadb,n345)"
9,53.35392,99.16595,68.86557,122.21949000000001,3957,-1,-1,3957,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n13),(memcached,n208),(memcached,n336),(nginx,n3),(mariadb,n22)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n13),(memcached,n208),(memcached,n336),(nginx,n3),(mariadb,n22)"
10,54.17374,99.16313,4.13077,58.30451,6792,-1,-1,6792,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n492),(memcached,n492),(nginx,n492),(mariadb,n492),(memcached,n4),(mariadb,n4),(memcached,n208),(memcached,n246),(nginx,n3)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n492),(memcached,n492),(nginx,n492),(mariadb,n492),(memcached,n4),(mariadb,n4),(memcached,n208),(memcached,n246),(nginx,n3)"
11,56.1503,98.9513,68.64971,124.80001,3957,-1,-1,3957,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(memcached,n13),(memcached,n208),(memcached,n336),(mariadb,n4)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(memcached,n13),(memcached,n208),(memcached,n336),(mariadb,n4)"
12,51.95225,99.09815,68.41011,120.36236,3832,-1,-1,3832,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n208),(memcached,n336),(nginx,n4),(mariadb,n22)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n208),(memcached,n336),(nginx,n4),(mariadb,n22)"
13,49.44552,98.9328,68.54572,117.99124,3957,-1,-1,3957,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n80),(memcached,n208),(memcached,n333),(nginx,n3),(mariadb,n4)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n80),(memcached,n208),(memcached,n333),(nginx,n3),(mariadb,n4)"
14,50.63436,98.88269,3.7632,54.39756,4085,-1,-1,4085,"(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n4),(memcached,n13),(memcached,n208),(memcached,n336)",,,"(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n4),(memcached,n13),(memcached,n208),(memcached,n336)"
15,51.34432,99.04386,3.72194,55.06626,3957,-1,-1,3957,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n13),(memcached,n208),(memcached,n336),(nginx,n3),(mariadb,n14)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n13),(memcached,n208),(memcached,n336),(nginx,n3),(mariadb,n14)"
16,51.9214,99.43801,4.06882,55.99022,3468,-1,-1,3468,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n13),(memcached,n208),(memcached,n336)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n4),(memcached,n13),(memcached,n208),(memcached,n336)"
17,53.39768,98.95855,4.17906,57.57674,6038,-1,-1,6038,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n17),(memcached,n34),(memcached,n246),(nginx,n336),(mariadb,n336)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n17),(memcached,n34),(memcached,n246),(nginx,n336),(mariadb,n336)"
18,52.25704,99.02378,3.92916,56.18620000000001,4443,-1,-1,4443,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n49),(memcached,n208),(memcached,n265),(memcached,n336),(nginx,n336)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n49),(memcached,n208),(memcached,n265),(memcached,n336),(nginx,n336)"
19,52.26366,98.86486,4.00969,56.27335,4443,-1,-1,4443,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(memcached,n13),(memcached,n208),(memcached,n265),(memcached,n336),(nginx,n336)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(memcached,n13),(memcached,n208),(memcached,n265),(memcached,n336),(nginx,n336)"
20,51.47342,99.17379,68.67835,120.15177,4131,-1,-1,4131,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(memcached,n13),(memcached,n111),(memcached,n336),(nginx,n336)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(memcached,n13),(memcached,n111),(memcached,n336),(nginx,n336)"
21,51.10792,98.80255,4.08891,55.19683,4365,-1,-1,4365,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(memcached,n13),(memcached,n208),(memcached,n295),(memcached,n336),(nginx,n336),(memcached,n463)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(memcached,n13),(memcached,n208),(memcached,n295),(memcached,n336),(nginx,n336),(memcached,n463)"
22,46.75221,98.97699,68.53337,115.28558000000001,4292,-1,-1,4292,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n208),(memcached,n336),(nginx,n336)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n208),(memcached,n336),(nginx,n336)"
