step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,171.20533,66.69865,-1,171.20533,7195,-1,-1,7195,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n37),(postgres,n37),(traefik,n55),(traefik,n102),(traefik,n216),(httpd,n10)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n37),(postgres,n37),(traefik,n55),(traefik,n102),(traefik,n216),(httpd,n10)"
1,187.39255,8.73437,1.31388,1.31388,6852,8988,7195,7195,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n79),(traefik,n7),(traefik,n216),(postgres,n345)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(busybox,n45),(alpine,n45),(memcached,n45),(nginx,n45),(httpd,n45),(mariadb,n45),(postgres,n45),(busybox,n9),(alpine,n9),(memcached,n9),(traefik,n9),(nginx,n9),(httpd,n9),(mariadb,n9),(postgres,n9),(traefik,n7)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(memcached,n37),(postgres,n37),(traefik,n55),(traefik,n102),(traefik,n216),(httpd,n10)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(memcached,n37),(postgres,n37),(traefik,n55),(traefik,n102),(traefik,n216),(httpd,n10)"
2,215.2875,67.13512,67.576,282.8635,7195,-1,-1,7195,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n37),(traefik,n37),(traefik,n67),(traefik,n212),(httpd,n10),(postgres,n55)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n37),(traefik,n37),(traefik,n67),(traefik,n212),(httpd,n10),(postgres,n55)"
3,209.78479,21.52228,2.51125,2.51125,7047,9284,7195,7195,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n37),(traefik,n37),(traefik,n326),(httpd,n79),(postgres,n55)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(busybox,n45),(alpine,n45),(nginx,n45),(mariadb,n45),(busybox,n9),(alpine,n9),(memcached,n9),(traefik,n9),(nginx,n9),(httpd,n9),(mariadb,n9),(postgres,n9),(memcached,n10),(httpd,n10),(postgres,n10),(traefik,n41)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(memcached,n37),(traefik,n37),(traefik,n67),(traefik,n212),(httpd,n10),(postgres,n55)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(memcached,n37),(traefik,n37),(traefik,n67),(traefik,n212),(httpd,n10),(postgres,n55)"
4,210.83642,16.77172,32.58259,32.58259,7047,8988,7242,7242,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n79),(traefik,n79),(httpd,n79),(traefik,n7),(postgres,n37)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(busybox,n45),(alpine,n45),(nginx,n45),(mariadb,n45),(busybox,n9),(alpine,n9),(memcached,n9),(traefik,n9),(nginx,n9),(httpd,n9),(mariadb,n9),(postgres,n9),(memcached,n6),(traefik,n6),(httpd,n6),(postgres,n6)","(traefik,n0),(httpd,n0),(busybox,n0),(alpine,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(postgres,n0),(traefik,n6),(httpd,n6),(traefik,n9),(httpd,n9),(memcached,n37),(postgres,n55)","(traefik,n0),(httpd,n0),(busybox,n0),(alpine,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(postgres,n0),(traefik,n6),(httpd,n6),(traefik,n9),(httpd,n9),(memcached,n37),(postgres,n55)"
5,225.84346,67.39834,67.62338,293.46684,7195,-1,-1,7195,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n46),(traefik,n7),(httpd,n7),(traefik,n9),(traefik,n216),(postgres,n42)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n46),(traefik,n7),(httpd,n7),(traefik,n9),(traefik,n216),(postgres,n42)"
6,208.87083,13.21452,3.17533,3.17533,6852,8988,7195,7195,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n270),(traefik,n7),(traefik,n55),(postgres,n485)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(busybox,n45),(alpine,n45),(memcached,n45),(nginx,n45),(httpd,n45),(mariadb,n45),(postgres,n45),(busybox,n9),(alpine,n9),(memcached,n9),(traefik,n9),(nginx,n9),(httpd,n9),(mariadb,n9),(postgres,n9),(traefik,n7)","(postgres,n0),(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n9),(traefik,n9),(memcached,n46),(traefik,n7),(httpd,n7),(traefik,n216)","(postgres,n0),(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n9),(traefik,n9),(memcached,n46),(traefik,n7),(httpd,n7),(traefik,n216)"
7,223.97723,67.89693,67.07504,291.05227,7922,-1,-1,7922,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n55),(nginx,n55),(mariadb,n55),(httpd,n55),(postgres,n55),(traefik,n37),(traefik,n127),(traefik,n212),(traefik,n331)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n55),(nginx,n55),(mariadb,n55),(httpd,n55),(postgres,n55),(traefik,n37),(traefik,n127),(traefik,n212),(traefik,n331)"
8,192.2416,68.05369,67.55823,259.79983,7195,-1,-1,7195,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n55),(traefik,n37),(postgres,n37),(traefik,n49),(traefik,n117),(httpd,n46)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n55),(traefik,n37),(postgres,n37),(traefik,n49),(traefik,n117),(httpd,n46)"
9,212.41234,67.5324,68.05444,280.46677999999997,11541,-1,-1,11541,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(busybox,n501),(memcached,n501),(nginx,n501),(mariadb,n501),(alpine,n501),(traefik,n501),(httpd,n501),(postgres,n501),(memcached,n6),(traefik,n6),(traefik,n216),(httpd,n49),(postgres,n10)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(busybox,n501),(memcached,n501),(nginx,n501),(mariadb,n501),(alpine,n501),(traefik,n501),(httpd,n501),(postgres,n501),(memcached,n6),(traefik,n6),(traefik,n216),(httpd,n49),(postgres,n10)"
