step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,19.16525,24.25198,-1,19.16525,5650,8674,-1,5650,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n40),(traefik,n10),(traefik,n26),(postgres,n26),(traefik,n51)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(busybox,n33),(alpine,n33),(nginx,n33),(httpd,n33),(mariadb,n33),(busybox,n32),(alpine,n32),(memcached,n32),(nginx,n32),(httpd,n32),(mariadb,n32),(postgres,n32),(memcached,n26),(postgres,n26),(traefik,n13),(traefik,n9)",,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n40),(traefik,n10),(traefik,n26),(postgres,n26),(traefik,n51)"
1,15.95496,88.71288,1.20072,1.20072,5588,10910,6287,6287,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n22),(memcached,n40),(traefik,n40),(traefik,n10),(traefik,n41)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(busybox,n72),(alpine,n72),(nginx,n72),(httpd,n72),(mariadb,n72),(postgres,n72),(busybox,n33),(alpine,n33),(memcached,n33),(nginx,n33),(httpd,n33),(mariadb,n33),(postgres,n33),(busybox,n32),(alpine,n32),(memcached,n32),(traefik,n32),(nginx,n32),(httpd,n32),(mariadb,n32),(postgres,n32),(memcached,n13),(traefik,n13),(traefik,n9)","(memcached,n13),(memcached,n6),(busybox,n6),(alpine,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(traefik,n10),(traefik,n26),(postgres,n26),(traefik,n51)","(memcached,n13),(memcached,n6),(busybox,n6),(alpine,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(traefik,n10),(traefik,n26),(postgres,n26),(traefik,n51)"
2,14.92569,89.61063,65.24536,80.17105000000001,5746,10910,-1,5746,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n18),(memcached,n32),(traefik,n32),(memcached,n40),(traefik,n10),(traefik,n26),(traefik,n51)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(busybox,n72),(alpine,n72),(nginx,n72),(httpd,n72),(mariadb,n72),(postgres,n72),(busybox,n33),(alpine,n33),(memcached,n33),(nginx,n33),(httpd,n33),(mariadb,n33),(postgres,n33),(busybox,n32),(alpine,n32),(memcached,n32),(traefik,n32),(nginx,n32),(httpd,n32),(mariadb,n32),(postgres,n32),(memcached,n13),(traefik,n13),(traefik,n9)",,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n18),(memcached,n32),(traefik,n32),(memcached,n40),(traefik,n10),(traefik,n26),(traefik,n51)"
3,19.7969,95.24711,65.26217,85.05906999999999,5588,-1,-1,5588,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n18),(memcached,n26),(traefik,n26),(memcached,n32),(traefik,n10),(traefik,n33)",,,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n18),(memcached,n26),(traefik,n26),(memcached,n32),(traefik,n10),(traefik,n33)"
4,17.87353,61.54676,28.70439,28.70439,6224,9405,6860,6860,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n22),(memcached,n31),(traefik,n31),(traefik,n10),(traefik,n41),(httpd,n40),(postgres,n40)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(busybox,n32),(alpine,n32),(nginx,n32),(mariadb,n32),(busybox,n72),(alpine,n72),(nginx,n72),(httpd,n72),(mariadb,n72),(postgres,n72),(busybox,n33),(alpine,n33),(memcached,n33),(traefik,n33),(nginx,n33),(httpd,n33),(mariadb,n33),(postgres,n33),(memcached,n24),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10)","(memcached,n6),(httpd,n6),(postgres,n6),(busybox,n6),(alpine,n6),(traefik,n6),(nginx,n6),(mariadb,n6),(memcached,n22),(memcached,n26),(httpd,n26),(postgres,n26),(traefik,n26),(httpd,n33),(postgres,n33),(traefik,n33),(traefik,n10)","(memcached,n6),(httpd,n6),(postgres,n6),(busybox,n6),(alpine,n6),(traefik,n6),(nginx,n6),(mariadb,n6),(memcached,n22),(memcached,n26),(httpd,n26),(postgres,n26),(traefik,n26),(httpd,n33),(postgres,n33),(traefik,n33),(traefik,n10)"
5,21.65464,66.57225,0.27151,0.27151,6224,9405,6860,6860,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n17),(memcached,n30),(memcached,n31),(traefik,n31),(traefik,n10),(traefik,n41),(httpd,n20),(postgres,n40)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(busybox,n32),(alpine,n32),(nginx,n32),(mariadb,n32),(busybox,n72),(alpine,n72),(nginx,n72),(httpd,n72),(mariadb,n72),(postgres,n72),(busybox,n33),(alpine,n33),(memcached,n33),(traefik,n33),(nginx,n33),(httpd,n33),(mariadb,n33),(postgres,n33),(memcached,n24),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(memcached,n22),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10),(traefik,n33),(httpd,n33),(postgres,n33)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(memcached,n22),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10),(traefik,n33),(httpd,n33),(postgres,n33)"
6,22.30291,62.72932,0.33147,0.33147,6224,9405,6860,6860,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n17),(memcached,n30),(memcached,n31),(traefik,n10),(traefik,n26),(traefik,n41),(httpd,n20),(postgres,n40)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(busybox,n32),(alpine,n32),(nginx,n32),(mariadb,n32),(busybox,n72),(alpine,n72),(nginx,n72),(httpd,n72),(mariadb,n72),(postgres,n72),(busybox,n33),(alpine,n33),(memcached,n33),(traefik,n33),(nginx,n33),(httpd,n33),(mariadb,n33),(postgres,n33),(memcached,n24),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(memcached,n22),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10),(traefik,n33),(httpd,n33),(postgres,n33)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(memcached,n22),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10),(traefik,n33),(httpd,n33),(postgres,n33)"
7,22.98649,64.16366,0.25322,0.25322,6224,9405,6860,6860,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n17),(memcached,n30),(memcached,n40),(traefik,n40),(postgres,n40),(traefik,n10),(traefik,n41),(httpd,n26)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(busybox,n32),(alpine,n32),(nginx,n32),(mariadb,n32),(busybox,n72),(alpine,n72),(nginx,n72),(httpd,n72),(mariadb,n72),(postgres,n72),(busybox,n33),(alpine,n33),(memcached,n33),(traefik,n33),(nginx,n33),(httpd,n33),(mariadb,n33),(postgres,n33),(memcached,n24),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(memcached,n22),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10),(traefik,n33),(httpd,n33),(postgres,n33)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(memcached,n22),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10),(traefik,n33),(httpd,n33),(postgres,n33)"
8,19.26685,63.23647,0.36464,0.36464,6224,9405,6860,6860,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n17),(memcached,n30),(memcached,n31),(traefik,n31),(postgres,n31),(traefik,n10),(traefik,n32),(httpd,n40)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(busybox,n32),(alpine,n32),(nginx,n32),(mariadb,n32),(busybox,n72),(alpine,n72),(nginx,n72),(httpd,n72),(mariadb,n72),(postgres,n72),(busybox,n33),(alpine,n33),(memcached,n33),(traefik,n33),(nginx,n33),(httpd,n33),(mariadb,n33),(postgres,n33),(memcached,n24),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(memcached,n22),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10),(traefik,n33),(httpd,n33),(postgres,n33)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(memcached,n22),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10),(traefik,n33),(httpd,n33),(postgres,n33)"
9,24.24579,59.0246,0.37788,0.37788,6224,9405,6860,6860,"(busybox,n6),(memcached,n6),(nginx,n6),(mariadb,n6),(alpine,n6),(traefik,n6),(httpd,n6),(postgres,n6),(memcached,n17),(memcached,n30),(memcached,n31),(traefik,n31),(postgres,n31),(traefik,n10),(traefik,n41),(httpd,n40)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(busybox,n32),(alpine,n32),(nginx,n32),(mariadb,n32),(busybox,n72),(alpine,n72),(nginx,n72),(httpd,n72),(mariadb,n72),(postgres,n72),(busybox,n33),(alpine,n33),(memcached,n33),(traefik,n33),(nginx,n33),(httpd,n33),(mariadb,n33),(postgres,n33),(memcached,n24),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(memcached,n22),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10),(traefik,n33),(httpd,n33),(postgres,n33)","(busybox,n6),(alpine,n6),(memcached,n6),(traefik,n6),(nginx,n6),(httpd,n6),(mariadb,n6),(postgres,n6),(memcached,n22),(memcached,n26),(traefik,n26),(httpd,n26),(postgres,n26),(traefik,n10),(traefik,n33),(httpd,n33),(postgres,n33)"
